               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  14,             0.03354,           0.0059694,                   0,            0.086759,             0.19107,             0.18919,            0.076068,            0.019254,            0.034223,           0.0049269,                   0,            0.083932,           0.0071565,           0.0071565,           0.0082565
                  15,            0.033608,           0.0060899,                   0,            0.072737,              0.2381,             0.13514,             0.16703,             0.03674,            0.033822,           0.0045292,                   0,            0.064598,           0.0068901,           0.0068901,           0.0068901
                  16,             0.03382,           0.0058782,                   0,            0.069717,             0.70283,             0.40541,              0.4639,              0.1241,             0.03368,           0.0044252,                   0,            0.064961,           0.0068901,           0.0068901,           0.0068901
                  17,            0.033807,           0.0058013,                   0,            0.065572,              0.5431,             0.64865,             0.58461,              0.1753,            0.033983,           0.0043744,                   0,            0.065124,           0.0065369,           0.0065369,           0.0065369
                  18,            0.033499,           0.0059738,                   0,            0.064646,             0.46975,             0.62162,             0.52431,             0.12451,            0.033941,           0.0046231,                   0,            0.065037,           0.0061795,           0.0061795,           0.0061795
                  19,            0.033788,           0.0055869,                   0,            0.064694,             0.45238,             0.51351,             0.41411,             0.11084,            0.033797,           0.0045267,                   0,            0.065215,           0.0058205,           0.0058205,           0.0058205
                  20,            0.032887,            0.005624,                   0,            0.069998,              0.3778,             0.54054,             0.38133,            0.089272,            0.034273,           0.0043565,                   0,            0.065415,           0.0054631,           0.0054631,           0.0054631
                  21,            0.033581,            0.005551,                   0,            0.068475,             0.28692,             0.56757,             0.36555,            0.086663,            0.033969,            0.004646,                   0,            0.065042,           0.0051099,           0.0051099,           0.0051099
                  22,            0.033798,           0.0057727,                   0,            0.064342,             0.66314,             0.42585,             0.47261,             0.12694,            0.033785,           0.0046585,                   0,            0.064501,           0.0047639,           0.0047639,           0.0047639
                  23,            0.033611,           0.0058193,                   0,            0.064099,             0.49858,             0.43243,             0.45466,             0.14144,            0.033706,           0.0048131,                   0,            0.064046,           0.0044279,           0.0044279,           0.0044279
                  24,             0.03312,           0.0059356,                   0,            0.070664,             0.52629,             0.51351,             0.47553,              0.1269,            0.033944,            0.004762,                   0,            0.063616,           0.0041045,           0.0041045,           0.0041045
                  25,            0.033247,           0.0061164,                   0,            0.075159,             0.54542,             0.32428,             0.33436,            0.057888,            0.033782,           0.0046186,                   0,            0.063377,           0.0037964,           0.0037964,           0.0037964
                  26,            0.033361,           0.0061781,                   0,            0.064896,             0.53339,             0.45946,             0.42864,             0.09295,            0.033875,           0.0045138,                   0,            0.063662,            0.003506,            0.003506,            0.003506
                  27,            0.033846,           0.0059316,                   0,              0.0747,             0.56261,             0.32432,             0.36683,             0.11709,            0.033534,           0.0043571,                   0,            0.063468,           0.0032357,           0.0032357,           0.0032357
                  28,             0.03341,           0.0056004,                   0,            0.064408,             0.49964,             0.37785,             0.33463,            0.062232,            0.033637,           0.0044091,                   0,            0.063354,           0.0029877,           0.0029877,           0.0029877
                  29,            0.033407,           0.0056735,                   0,            0.064638,             0.25142,             0.43243,             0.17266,            0.034898,            0.033676,            0.004412,                   0,            0.063241,           0.0027639,           0.0027639,           0.0027639
                  30,            0.033387,            0.005691,                   0,            0.064419,             0.21046,             0.42512,             0.15525,            0.023188,            0.033789,           0.0043818,                   0,            0.062974,           0.0025662,           0.0025662,           0.0025662
                  31,            0.033579,           0.0054385,                   0,             0.06457,               0.128,             0.43243,            0.097587,            0.017274,             0.03371,           0.0044014,                   0,            0.062943,           0.0023961,           0.0023961,           0.0023961
                  32,            0.033799,           0.0056429,                   0,            0.064892,             0.14835,             0.39083,             0.11266,            0.018968,            0.033915,           0.0043291,                   0,            0.062938,           0.0022551,           0.0022551,           0.0022551
                  33,            0.033883,           0.0056292,                   0,            0.064501,             0.12097,             0.40541,            0.087645,            0.015949,            0.033842,           0.0043827,                   0,            0.063058,           0.0021441,           0.0021441,           0.0021441
                  34,            0.033478,           0.0058591,                   0,             0.06428,             0.20669,             0.51351,             0.16188,            0.028807,            0.034026,           0.0043118,                   0,            0.063159,           0.0020643,           0.0020643,           0.0020643
